"(32, 54)",1
"(31, 6)",0
"(53, 53)",0
"(57, 50)",0
"(40, 22)",1
"(21, 28)",1
"(4, 36)",0
"(43, 3)",0
"(7, 25)",1
"(46, 12)",0
"(29, 44)",0
"(33, 41)",0
"(16, 47)",1
"(36, 34)",0
"(58, 19)",0
"(41, 57)",1
"(44, 34)",1
"(9, 0)",0
"(48, 37)",1
"(12, 59)",0
"(34, 8)",0
"(15, 30)",1
"(37, 13)",0
"(24, 14)",0
"(49, 58)",1
"(13, 20)",0
"(52, 17)",0
"(0, 55)",0
"(20, 58)",1
"(3, 2)",1
"(25, 49)",1
"(28, 10)",0
"(50, 27)",0
"(31, 15)",1
"(1, 40)",1
"(57, 59)",1
"(40, 29)",0
"(21, 37)",0
"(4, 35)",1
"(8, 38)",1
"(7, 22)",0
"(46, 23)",1
"(29, 37)",0
"(33, 34)",1
"(16, 38)",0
"(36, 41)",0
"(58, 26)",1
"(41, 34)",1
"(22, 12)",1
"(44, 25)",1
"(9, 9)",1
"(12, 50)",1
"(34, 3)",1
"(17, 57)",1
"(37, 54)",0
"(59, 9)",1
"(24, 21)",1
"(45, 54)",0
"(49, 51)",0
"(13, 13)",1
"(52, 24)",1
"(0, 14)",0
"(38, 31)",1
"(3, 11)",1
"(25, 58)",0
"(28, 1)",1
"(50, 18)",0
"(53, 7)",0
"(1, 33)",0
"(40, 4)",1
"(21, 46)",0
"(4, 42)",0
"(8, 45)",1
"(7, 15)",1
"(46, 30)",0
"(33, 59)",1
"(16, 29)",1
"(54, 46)",0
"(58, 37)",1
"(41, 43)",0
"(22, 7)",1
"(5, 53)",0
"(44, 16)",0
"(9, 50)",0
"(47, 5)",1
"(12, 41)",0
"(34, 26)",0
"(17, 50)",1
"(59, 14)",0
"(24, 28)",1
"(45, 47)",1
"(10, 19)",0
"(49, 52)",0
"(13, 6)",0
"(0, 5)",0
"(38, 22)",0
"(25, 3)",0
"(28, 24)",0
"(50, 13)",0
"(53, 0)",1
"(1, 58)",1
"(40, 11)",1
"(21, 55)",1
"(4, 17)",0
"(26, 34)",1
"(7, 4)",1
"(46, 33)",1
"(29, 55)",0
"(16, 20)",1
"(54, 33)",0
"(19, 1)",0
"(58, 44)",0
"(41, 44)",1
"(22, 30)",0
"(44, 15)",1
"(9, 59)",0
"(47, 2)",1
"(12, 32)",1
"(34, 21)",1
"(17, 43)",1
"(37, 56)",0
"(59, 7)",0
"(42, 53)",1
"(45, 40)",0
"(10, 26)",1
"(49, 45)",1
"(0, 28)",0
"(38, 9)",1
"(25, 4)",0
"(28, 23)",0
"(50, 4)",1
"(14, 38)",0
"(53, 9)",1
"(1, 51)",0
"(21, 48)",0
"(4, 24)",1
"(26, 45)",0
"(46, 40)",0
"(29, 48)",1
"(33, 53)",0
"(16, 11)",1
"(54, 56)",0
"(19, 6)",1
"(58, 55)",0
"(41, 21)",0
"(22, 17)",1
"(5, 39)",1
"(44, 6)",1
"(47, 11)",0
"(30, 49)",1
"(34, 44)",0
"(17, 44)",1
"(56, 1)",1
"(37, 33)",0
"(59, 28)",1
"(45, 33)",1
"(10, 5)",1
